NOC,Medal
AFG,2
AHO,1
ALB,0
ALG,17
AND,0
ANG,0
ANT,0
ANZ,29
ARG,274
ARM,16
ARU,0
ASA,0
AUS,1304
AUT,170
AZE,44
BAH,40
BAN,0
BAR,1
BDI,2
BEL,455
BEN,0
BER,1
BHU,0
BIH,0
BIZ,0
BLR,124
BOH,12
BOL,0
BOT,1
BRA,475
BRN,3
BRU,0
BUL,336
BUR,0
CAF,0
CAM,0
CAN,741
CAY,0
CGO,0
CHA,0
CHI,32
CHN,909
CIV,3
CMR,22
COD,0
COK,0
COL,28
COM,0
CPV,0
CRC,4
CRO,138
CRT,0
CUB,409
CYP,1
CZE,71
DEN,592
DJI,1
DMA,0
DOM,7
ECU,2
EGY,27
ERI,1
ESA,0
ESP,487
EST,43
ETH,53
EUN,220
FIJ,13
FIN,474
FRA,1627
FRG,504
FSM,0
GAB,1
GAM,0
GBR,1985
GBS,0
GDR,843
GEO,32
GEQ,0
GER,1779
GHA,23
GRE,255
GRN,2
GUA,1
GUI,0
GUM,0
GUY,1
HAI,7
HKG,4
HON,0
HUN,1123
INA,41
IND,190
IOA,5
IRI,68
IRL,35
IRQ,1
ISL,17
ISR,9
ISV,1
ITA,1446
IVB,0
JAM,157
JOR,1
JPN,850
KAZ,70
KEN,106
KGZ,3
KIR,0
KOR,552
KOS,1
KSA,6
KUW,2
LAO,0
LAT,20
LBA,0
LBR,0
LCA,0
LES,0
LIB,4
LIE,0
LTU,61
LUX,6
MAD,0
MAL,0
MAR,23
MAS,16
MAW,0
MDA,8
MDV,0
MEX,110
MGL,26
MHL,0
MKD,1
MLI,0
MLT,0
MNE,14
MON,1
MOZ,2
MRI,1
MTN,0
MYA,0
NAM,4
NBO,0
NCA,0
NED,918
NEP,0
NFL,0
NGR,99
NIG,2
NOR,590
NRU,0
NZL,227
OMA,0
PAK,121
PAN,3
PAR,17
PER,15
PHI,10
PLE,0
PLW,0
PNG,0
POL,538
POR,41
PRK,65
PUR,9
QAT,5
RHO,0
ROT,0
ROU,651
RSA,131
RUS,905
RWA,0
SAA,0
SAM,0
SCG,64
SEN,1
SEY,0
SGP,9
SKN,0
SLE,0
SLO,30
SMR,0
SOL,0
SOM,0
SRB,85
SRI,2
SSD,0
STP,0
SUD,1
SUI,416
SUR,2
SVK,42
SWE,1108
SWZ,0
SYR,3
TAN,2
TCH,330
TGA,1
THA,30
TJK,4
TKM,0
TLS,0
TOG,1
TPE,49
TTO,32
TUN,13
TUR,95
TUV,0
UAE,2
UAR,2
UGA,7
UKR,188
UNK,0
URS,2063
URU,63
USA,5002
UZB,33
VAN,0
VEN,15
VIE,4
VIN,0
VNM,0
WIF,5
YAR,0
YEM,0
YMD,0
YUG,383
ZAM,2
ZIM,22
